Start date;End date;Germany/Luxembourg [€/MWh] Original resolutions;∅ DE/LU neighbours [€/MWh] Original resolutions;Belgium [€/MWh] Original resolutions;Denmark 1 [€/MWh] Original resolutions;Denmark 2 [€/MWh] Original resolutions;France [€/MWh] Original resolutions;Netherlands [€/MWh] Original resolutions;Norway 2 [€/MWh] Original resolutions;Austria [€/MWh] Original resolutions;Poland [€/MWh] Original resolutions;Sweden 4 [€/MWh] Original resolutions;Switzerland [€/MWh] Original resolutions;Czech Republic [€/MWh] Original resolutions;DE/AT/LU [€/MWh] Original resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Original resolutions;Hungary [€/MWh] Original resolutions
Apr 20, 2025 1:00 AM;Apr 20, 2025 2:00 AM;94.90;78.63;88.87;94.90;94.90;43.80;90.75;52.95;98.68;101.32;18.99;83.04;96.74;-;99.83;99.83;98.19
Apr 20, 2025 2:00 AM;Apr 20, 2025 3:00 AM;98.98;80.25;102.08;98.98;98.98;37.26;103.34;52.85;95.59;98.07;17.53;80.51;97.58;-;95.00;95.00;96.35
Apr 20, 2025 3:00 AM;Apr 20, 2025 4:00 AM;97.41;77.74;93.80;97.41;97.41;25.06;96.00;52.80;98.98;98.24;17.11;79.99;98.30;-;93.90;99.67;98.93
Apr 20, 2025 4:00 AM;Apr 20, 2025 5:00 AM;98.83;78.93;98.08;98.83;98.83;17.14;100.30;52.74;98.04;98.89;25.72;81.02;98.66;-;93.22;98.19;98.42
Apr 20, 2025 5:00 AM;Apr 20, 2025 6:00 AM;108.64;87.34;123.28;108.64;108.64;18.21;123.79;52.79;96.00;104.63;39.01;82.63;103.07;-;93.20;93.20;98.40
Apr 20, 2025 6:00 AM;Apr 20, 2025 7:00 AM;109.38;88.95;122.85;109.38;109.38;21.87;123.46;52.74;96.71;105.05;48.48;84.98;103.50;-;94.03;94.03;99.00
Apr 20, 2025 7:00 AM;Apr 20, 2025 8:00 AM;94.32;77.39;105.57;94.32;94.32;20.01;105.99;52.51;78.07;88.34;47.93;77.32;86.91;-;95.00;77.70;82.20
Apr 20, 2025 8:00 AM;Apr 20, 2025 9:00 AM;68.60;64.28;127.50;68.60;63.46;24.74;93.18;50.60;59.90;64.86;38.51;52.00;63.70;-;97.10;59.14;61.59
Apr 20, 2025 9:00 AM;Apr 20, 2025 10:00 AM;18.63;15.04;23.93;18.63;14.33;13.45;19.50;49.62;-3.72;6.86;14.24;2.84;5.80;-;97.60;-0.51;0.87
Apr 20, 2025 10:00 AM;Apr 20, 2025 11:00 AM;0.00;4.51;-0.02;0.00;4.53;0.00;-0.02;44.09;-1.15;-0.67;4.58;-0.99;-0.69;-;95.00;-1.03;-1.03
Apr 20, 2025 11:00 AM;Apr 20, 2025 12:00 PM;-5.72;-8.11;-0.02;-0.08;0.63;-0.02;-9.08;43.15;-52.27;-28.58;0.83;-13.24;-30.50;-;80.00;-42.59;-40.60
Apr 20, 2025 12:00 PM;Apr 20, 2025 1:00 PM;-34.99;-30.70;-13.00;-0.72;-0.72;-0.99;-30.00;32.22;-135.54;-75.74;-0.45;-32.08;-80.69;-;49.98;-104.76;-102.07
Apr 20, 2025 1:00 PM;Apr 20, 2025 2:00 PM;-52.42;-33.34;3.97;-0.01;0.47;-5.89;-57.90;31.04;-132.83;-80.58;0.67;-40.82;-84.89;-;20.00;-102.49;-101.64
Apr 20, 2025 2:00 PM;Apr 20, 2025 3:00 PM;-40.05;-20.99;-7.58;0.00;1.17;-6.76;-27.40;43.68;-88.88;-51.39;1.38;-40.51;-54.65;-;19.00;-64.46;-64.60
Apr 20, 2025 3:00 PM;Apr 20, 2025 4:00 PM;-4.76;0.19;-4.20;-0.77;6.40;-4.20;-5.15;46.34;-9.93;-7.32;6.40;-18.00;-7.53;-;20.00;-8.88;-8.66
Apr 20, 2025 4:00 PM;Apr 20, 2025 5:00 PM;0.00;8.56;0.00;0.00;24.96;0.00;0.00;49.77;0.00;0.00;24.73;-5.32;0.00;-;73.10;0.00;0.00
Apr 20, 2025 5:00 PM;Apr 20, 2025 6:00 PM;72.42;56.45;80.99;72.42;39.69;18.04;81.36;52.59;64.08;69.43;39.28;34.37;68.65;-;98.23;62.62;65.82
Apr 20, 2025 6:00 PM;Apr 20, 2025 7:00 PM;106.81;89.89;104.92;106.81;103.40;34.42;106.81;53.69;106.99;120.70;46.15;97.89;107.04;-;111.76;107.34;107.16
Apr 20, 2025 7:00 PM;Apr 20, 2025 8:00 PM;119.94;104.32;124.00;119.94;119.93;53.55;126.92;56.08;112.84;151.83;44.50;121.17;116.77;-;120.26;111.33;114.18
Apr 20, 2025 8:00 PM;Apr 20, 2025 9:00 PM;144.95;117.32;129.40;144.95;144.94;63.09;144.95;59.52;138.58;143.34;52.57;126.66;142.51;-;132.40;137.01;139.88
Apr 20, 2025 9:00 PM;Apr 20, 2025 10:00 PM;137.56;115.89;144.43;137.56;137.56;82.30;145.99;58.33;129.56;134.93;53.21;117.02;133.91;-;125.75;127.81;131.01
Apr 20, 2025 10:00 PM;Apr 20, 2025 11:00 PM;121.82;105.94;121.85;121.82;121.82;96.27;122.49;55.88;121.40;121.79;51.23;109.09;121.69;-;120.26;121.39;121.54
Apr 20, 2025 11:00 PM;Apr 21, 2025 12:00 AM;110.68;98.34;109.71;110.68;110.68;103.17;110.01;54.76;111.24;110.89;50.67;99.01;110.95;-;111.24;111.41;111.17
Apr 21, 2025 12:00 AM;Apr 21, 2025 1:00 AM;108.58;-;110.00;108.58;108.58;78.27;110.63;57.79;106.94;108.22;54.74;-;107.96;-;100.00;106.76;107.39
Apr 21, 2025 1:00 AM;Apr 21, 2025 2:00 AM;97.59;-;94.65;97.59;97.59;68.16;95.43;56.87;99.75;98.39;52.35;-;98.59;-;99.45;100.35;99.41
Apr 21, 2025 2:00 AM;Apr 21, 2025 3:00 AM;96.47;-;97.88;96.47;96.47;61.54;98.62;56.59;94.76;96.08;52.31;-;95.84;-;94.59;94.59;95.24
Apr 21, 2025 3:00 AM;Apr 21, 2025 4:00 AM;96.84;-;98.61;96.84;96.84;34.64;100.00;56.61;94.40;96.35;52.31;-;95.98;-;93.88;94.21;95.13
Apr 21, 2025 4:00 AM;Apr 21, 2025 5:00 AM;97.98;-;95.99;97.98;97.98;25.00;97.98;56.63;98.28;98.40;52.55;-;98.32;-;93.90;98.70;98.48
Apr 21, 2025 5:00 AM;Apr 21, 2025 6:00 AM;98.54;-;98.27;98.54;98.54;29.97;100.00;57.46;97.56;98.53;53.69;-;98.32;-;93.91;97.71;98.02
Apr 21, 2025 6:00 AM;Apr 21, 2025 7:00 AM;97.07;-;100.00;97.07;97.07;60.05;100.65;59.32;93.87;96.08;57.44;-;95.72;-;100.00;93.43;94.63
Apr 21, 2025 7:00 AM;Apr 21, 2025 8:00 AM;91.31;-;94.65;91.31;91.31;72.13;94.65;57.41;88.89;90.01;55.68;-;89.98;-;116.00;87.75;88.00
Apr 21, 2025 8:00 AM;Apr 21, 2025 9:00 AM;88.50;-;91.30;88.50;88.50;65.12;91.30;55.42;67.05;80.61;52.41;-;79.86;-;117.50;74.08;75.75
Apr 21, 2025 9:00 AM;Apr 21, 2025 10:00 AM;87.99;-;93.30;87.99;87.98;33.98;92.71;53.90;24.18;49.92;49.92;-;55.56;-;102.93;33.98;12.08
Apr 21, 2025 10:00 AM;Apr 21, 2025 11:00 AM;65.24;-;75.40;65.24;65.20;25.74;68.08;53.29;-18.58;22.12;32.94;-;18.77;-;100.00;-5.36;0.00
Apr 21, 2025 11:00 AM;Apr 21, 2025 12:00 PM;33.88;-;52.51;33.88;33.87;17.74;40.00;51.12;-10.35;10.90;31.66;-;9.09;-;92.35;-3.09;-0.57
Apr 21, 2025 12:00 PM;Apr 21, 2025 1:00 PM;17.19;-;20.44;17.19;17.18;11.83;15.52;49.30;-37.98;-13.39;16.57;-;-14.57;-;75.00;-29.62;-30.09
Apr 21, 2025 1:00 PM;Apr 21, 2025 2:00 PM;8.91;-;8.91;8.91;8.91;8.12;8.91;30.79;-45.75;-21.27;8.91;-;-22.49;-;27.00;-36.99;-37.30
Apr 21, 2025 2:00 PM;Apr 21, 2025 3:00 PM;8.43;-;10.00;8.44;8.44;6.56;8.36;33.07;-8.04;-0.43;8.43;-;-0.94;-;25.00;-5.32;-5.01
Apr 21, 2025 3:00 PM;Apr 21, 2025 4:00 PM;10.01;-;10.96;10.29;10.29;9.27;10.37;49.16;8.85;9.57;10.25;-;9.53;-;40.00;9.27;9.34
Apr 21, 2025 4:00 PM;Apr 21, 2025 5:00 PM;50.05;-;55.98;50.05;49.78;11.94;56.36;53.11;44.11;48.11;49.72;-;47.56;-;77.10;43.36;45.57
Apr 21, 2025 5:00 PM;Apr 21, 2025 6:00 PM;88.77;-;99.46;88.77;88.77;20.33;100.17;57.33;78.05;85.27;54.75;-;84.28;-;115.00;76.69;80.70
Apr 21, 2025 6:00 PM;Apr 21, 2025 7:00 PM;101.95;-;103.06;101.95;101.97;44.86;104.37;61.01;99.94;113.70;78.23;-;101.20;-;121.67;99.87;100.56
Apr 21, 2025 7:00 PM;Apr 21, 2025 8:00 PM;121.95;-;122.85;121.95;121.96;107.78;123.11;65.01;120.93;121.65;82.18;-;121.53;-;127.37;120.80;121.18
Apr 21, 2025 8:00 PM;Apr 21, 2025 9:00 PM;139.14;-;140.00;139.14;139.15;134.09;140.00;65.01;138.67;140.10;73.12;-;139.09;-;134.09;138.65;139.23
Apr 21, 2025 9:00 PM;Apr 21, 2025 10:00 PM;132.10;-;132.10;132.10;132.10;132.10;132.10;60.81;132.10;132.10;58.50;-;132.10;-;132.10;132.10;132.10
Apr 21, 2025 10:00 PM;Apr 21, 2025 11:00 PM;122.77;-;122.77;122.77;122.77;122.77;122.77;57.78;122.77;122.77;56.53;-;122.77;-;122.77;122.77;122.77
Apr 21, 2025 11:00 PM;Apr 22, 2025 12:00 AM;106.54;-;108.00;106.54;106.54;102.93;107.13;55.87;106.48;106.51;54.93;-;106.49;-;102.93;106.51;106.50
