Delivery period (CET);High;Low;VWAP;Open;Close;VWAP1H;VWAP3H;Buy Volume (MWh);Sell Volume (MWh);Transaction Volume (MWh);First trade time (CET);Last trade time (CET)
00:00 - 01:00;1 089,99;60,30;113,83;104,28;112,79;144,57;118,45;9 376,2;9 398,1;10 299,4;17.04.2025 15:20:59;18.04.2025 00:39:41
01:00 - 02:00;287,03;-10,41;98,58;84,69;74,50;107,96;100,61;9 226,1;8 970,5;10 033,3;17.04.2025 15:40:25;18.04.2025 01:39:54
02:00 - 03:00;192,57;-88,08;95,11;83,10;115,00;98,54;97,00;8 504,3;8 210,8;9 584,3;17.04.2025 15:32:33;18.04.2025 02:39:53
03:00 - 04:00;146,46;20,26;92,80;86,30;105,00;93,27;94,87;7 589,4;7 497,6;8 684,6;17.04.2025 15:27:16;18.04.2025 03:39:38
04:00 - 05:00;199,99;32,50;91,04;85,10;86,10;94,66;93,14;8 249,5;8 032,1;9 181,2;17.04.2025 15:40:25;18.04.2025 04:39:45
05:00 - 06:00;197,97;17,41;90,45;85,84;68,50;88,59;90,97;7 699,8;7 270,0;8 234,0;17.04.2025 15:31:38;18.04.2025 05:39:56
06:00 - 07:00;135,61;-33,10;90,61;76,63;70,00;78,25;87,88;7 229,3;7 226,3;7 924,8;17.04.2025 15:17:03;18.04.2025 06:39:58
07:00 - 08:00;121,25;16,93;97,74;78,51;110,00;83,65;94,18;8 748,6;8 448,0;10 032,7;17.04.2025 15:19:35;18.04.2025 07:39:59
08:00 - 09:00;351,75;56,97;99,26;97,22;90,00;89,27;94,55;8 320,8;8 317,9;10 258,2;17.04.2025 15:20:00;18.04.2025 08:39:39
09:00 - 10:00;310,53;30,00;102,39;87,99;51,60;103,12;100,06;9 063,5;9 505,2;11 880,3;17.04.2025 15:20:46;18.04.2025 09:39:59
10:00 - 11:00;156,32;-5,88;95,47;85,41;63,76;82,36;93,90;10 259,7;10 112,2;13 324,3;17.04.2025 15:20:23;18.04.2025 10:39:38
11:00 - 12:00;135,39;45,51;90,15;82,38;115,00;82,11;89,28;11 304,8;11 238,8;14 853,3;17.04.2025 15:20:28;18.04.2025 11:39:52
12:00 - 13:00;179,99;0,12;84,78;73,75;110,26;83,31;83,31;12 776,9;13 268,1;16 066,4;17.04.2025 15:21:13;18.04.2025 12:39:37
13:00 - 14:00;197,76;0,40;76,13;60,91;25,39;79,40;76,79;11 538,1;10 987,8;15 052,4;17.04.2025 15:20:56;18.04.2025 13:39:48
14:00 - 15:00;199,95;15,98;76,78;61,40;153,92;85,57;80,09;12 918,6;11 978,7;16 246,6;17.04.2025 15:20:04;18.04.2025 14:39:53
15:00 - 16:00;183,19;27,52;77,00;76,12;82,90;85,09;80,03;11 890,3;10 884,2;15 592,3;17.04.2025 15:12:08;18.04.2025 15:39:49
16:00 - 17:00;199,89;46,20;84,54;73,68;94,50;92,56;87,16;10 851,0;10 018,0;14 077,3;17.04.2025 15:20:03;18.04.2025 16:39:49
17:00 - 18:00;216,06;31,21;100,63;87,77;121,45;113,11;104,19;10 710,2;9 882,2;13 466,9;17.04.2025 15:14:39;18.04.2025 17:39:59
18:00 - 19:00;1 361,81;-27,47;113,92;101,60;81,52;125,16;117,44;9 720,7;9 508,7;12 306,2;17.04.2025 15:19:36;18.04.2025 18:39:58
19:00 - 20:00;359,41;-141,97;123,32;108,27;90,50;114,43;122,58;7 068,5;7 013,7;8 353,7;17.04.2025 15:11:36;18.04.2025 19:39:57
20:00 - 21:00;215,47;-96,76;121,18;111,90;112,66;108,78;119,26;7 141,9;7 588,5;9 017,2;17.04.2025 15:22:43;18.04.2025 20:39:14
21:00 - 22:00;213,29;15,30;107,39;100,91;65,50;99,88;103,99;7 164,3;7 788,6;9 032,4;17.04.2025 15:19:36;18.04.2025 21:39:59
22:00 - 23:00;1 464,82;-58,49;100,45;118,96;102,99;97,16;98,99;7 187,7;7 809,3;9 376,1;17.04.2025 15:30:53;18.04.2025 22:39:45
23:00 - 00:00;139,10;25,92;94,69;139,10;91,55;95,24;94,41;6 222,4;6 315,8;7 998,0;17.04.2025 15:26:13;18.04.2025 23:39:13
