Delivery period (CET);High;Low;VWAP;Open;Close;VWAP1H;VWAP3H;Buy Volume (MWh);Sell Volume (MWh);Transaction Volume (MWh);First trade time (CET);Last trade time (CET)
00:00 - 01:00;237,88;-36,09;96,82;43,00;78,45;91,97;97,12;4 073,3;4 725,2;5 441,9;19.04.2025 15:00:03;20.04.2025 00:39:15
01:00 - 02:00;4 935,09;53,43;94,32;84,01;78,45;97,75;95,90;3 515,7;4 165,2;4 870,5;19.04.2025 15:05:41;20.04.2025 01:39:48
02:00 - 03:00;1 500,00;3,52;89,68;93,24;35,00;83,12;89,15;3 409,8;3 761,9;4 617,7;19.04.2025 15:00:35;20.04.2025 02:39:52
03:00 - 04:00;199,99;-12,99;88,50;84,62;81,60;81,93;87,51;3 226,8;3 717,6;4 358,7;19.04.2025 15:07:10;20.04.2025 03:39:34
04:00 - 05:00;295,69;-153,19;91,19;87,83;80,80;82,92;89,96;3 431,4;3 855,2;4 603,5;19.04.2025 15:01:03;20.04.2025 04:39:38
05:00 - 06:00;128,82;-2,57;88,98;106,52;54,00;71,42;82,34;4 191,9;4 544,2;5 656,1;19.04.2025 15:18:40;20.04.2025 05:39:40
06:00 - 07:00;498,20;-28,29;90,99;498,20;78,50;82,24;86,21;4 910,9;5 655,9;6 851,0;19.04.2025 15:00:11;20.04.2025 06:39:36
07:00 - 08:00;199,99;-2,99;78,25;87,93;46,48;81,34;76,84;7 410,8;7 231,1;8 724,6;19.04.2025 15:18:36;20.04.2025 07:39:50
08:00 - 09:00;1 480,90;-344,59;40,98;42,00;50,00;17,68;36,09;7 607,6;7 515,5;8 812,9;19.04.2025 15:00:02;20.04.2025 08:39:58
09:00 - 10:00;892,83;-84,50;14,42;35,00;50,00;13,46;13,53;8 341,6;8 711,8;9 222,4;19.04.2025 15:00:30;20.04.2025 09:39:48
10:00 - 11:00;6 818,29;-99,99;12,84;0,00;-12,40;32,24;17,51;11 490,5;11 186,2;12 033,8;19.04.2025 15:05:01;20.04.2025 10:39:31
11:00 - 12:00;147,97;-109,03;-1,59;-55,62;-8,90;15,16;5,71;11 759,9;11 680,2;11 821,1;19.04.2025 15:15:04;20.04.2025 11:39:40
12:00 - 13:00;55,60;-135,35;-25,53;-50,00;-27,16;-10,79;-13,52;9 954,9;9 877,7;9 957,2;19.04.2025 15:11:13;20.04.2025 12:39:43
13:00 - 14:00;11,67;-239,50;-45,98;-84,40;-50,10;-24,06;-26,54;10 089,1;10 088,6;10 089,1;19.04.2025 16:54:00;20.04.2025 13:39:41
14:00 - 15:00;49,88;-288,57;-40,89;-95,70;-10,65;-36,30;-31,10;10 677,1;10 621,2;10 744,3;19.04.2025 16:00:08;20.04.2025 14:39:24
15:00 - 16:00;209,68;-357,84;-2,94;5,99;23,01;3,89;0,87;9 901,2;10 138,7;10 908,6;19.04.2025 15:01:06;20.04.2025 15:39:42
16:00 - 17:00;199,99;-29,90;15,25;18,00;66,80;33,95;23,94;10 698,7;11 456,8;14 559,0;19.04.2025 15:01:43;20.04.2025 16:39:27
17:00 - 18:00;131,55;-35,50;54,36;88,05;0,00;54,56;53,76;9 260,4;9 820,3;11 768,7;19.04.2025 15:12:01;20.04.2025 17:39:50
18:00 - 19:00;256,63;-49,98;88,27;42,00;52,00;80,79;85,75;10 108,0;10 400,4;12 946,7;19.04.2025 15:00:01;20.04.2025 18:39:55
19:00 - 20:00;247,56;-41,54;111,11;110,00;101,10;114,03;112,30;10 359,8;10 950,8;13 183,0;19.04.2025 15:19:18;20.04.2025 19:39:55
20:00 - 21:00;244,99;-500,00;122,04;142,21;113,41;115,96;119,02;7 255,7;7 868,8;9 547,6;19.04.2025 15:20:07;20.04.2025 20:39:24
21:00 - 22:00;2 633,40;-50,00;114,84;103,12;200,00;103,58;109,12;6 530,3;7 622,6;9 255,4;19.04.2025 15:17:58;20.04.2025 21:39:51
22:00 - 23:00;2 645,46;-27,88;156,91;42,00;23,50;237,84;176,87;9 046,8;9 960,3;12 061,7;19.04.2025 15:00:01;20.04.2025 22:39:58
23:00 - 00:00;210,99;-405,14;102,70;110,01;78,45;92,77;101,42;7 016,2;8 331,9;10 219,4;19.04.2025 15:18:28;20.04.2025 23:39:40
