Delivery period (CET);High;Low;VWAP;Open;Close;VWAP1H;VWAP3H;Buy Volume (MWh);Sell Volume (MWh);Transaction Volume (MWh);First trade time (CET);Last trade time (CET)
00:00 - 01:00;296,95;-114,84;95,22;86,96;91,60;103,40;98,22;5 883,0;5 449,1;6 707,1;13.04.2025 15:27:09;14.04.2025 00:39:50
01:00 - 02:00;143,36;-149,16;91,32;41,69;104,01;95,81;93,60;5 497,3;5 226,2;6 448,6;13.04.2025 15:25:13;14.04.2025 01:39:50
02:00 - 03:00;161,32;3,40;93,34;84,08;120,00;105,21;96,37;5 883,6;5 324,2;6 666,6;13.04.2025 15:28:39;14.04.2025 02:39:24
03:00 - 04:00;354,01;-147,18;96,82;61,99;83,00;106,23;102,40;6 308,5;5 906,8;7 504,3;13.04.2025 15:20:02;14.04.2025 03:39:24
04:00 - 05:00;213,38;-133,98;97,97;158,55;84,88;108,74;105,16;7 339,1;6 982,9;9 012,5;13.04.2025 15:00:44;14.04.2025 04:39:31
05:00 - 06:00;187,63;-175,71;94,61;137,94;87,01;81,04;93,50;7 962,7;7 623,1;9 375,6;13.04.2025 15:06:28;14.04.2025 05:39:45
06:00 - 07:00;183,33;-133,95;116,34;183,33;110,33;108,48;111,85;7 161,2;7 530,9;8 334,1;13.04.2025 15:00:44;14.04.2025 06:39:49
07:00 - 08:00;211,02;0,60;128,34;211,02;83,90;109,12;118,95;8 682,4;8 882,6;10 538,3;13.04.2025 15:00:42;14.04.2025 07:39:29
08:00 - 09:00;344,73;-32,47;126,12;37,77;94,00;107,99;119,70;10 013,6;10 135,5;13 022,9;13.04.2025 15:00:32;14.04.2025 08:39:57
09:00 - 10:00;163,69;20,01;99,81;37,77;36,00;88,02;95,54;10 235,3;10 291,0;13 147,7;13.04.2025 15:00:42;14.04.2025 09:39:58
10:00 - 11:00;126,03;-3,42;79,96;29,80;14,18;66,76;76,32;10 891,4;10 090,3;13 698,6;13.04.2025 15:00:42;14.04.2025 10:39:37
11:00 - 12:00;112,79;-37,99;64,15;82,78;-6,06;44,16;58,89;11 700,0;11 548,6;14 859,1;13.04.2025 15:24:15;14.04.2025 11:39:59
12:00 - 13:00;119,49;-33,53;46,30;47,86;-21,80;20,86;36,72;10 062,7;10 807,4;13 332,9;13.04.2025 15:31:06;14.04.2025 12:39:44
13:00 - 14:00;144,27;-27,23;35,49;61,49;0,00;9,99;24,16;11 087,0;11 983,2;14 888,3;13.04.2025 15:20:03;14.04.2025 13:39:27
14:00 - 15:00;192,72;-23,65;46,77;56,06;80,80;43,79;42,20;12 825,3;13 387,8;16 311,8;13.04.2025 15:23:13;14.04.2025 14:39:40
15:00 - 16:00;98,30;-49,98;63,69;75,29;33,00;65,21;61,24;11 834,9;12 085,2;15 153,2;13.04.2025 15:22:14;14.04.2025 15:39:45
16:00 - 17:00;112,62;-14,84;72,95;56,78;74,70;62,17;69,45;10 708,7;10 855,1;13 670,5;13.04.2025 15:30:17;14.04.2025 16:39:43
17:00 - 18:00;171,57;9,20;89,36;125,98;78,02;79,72;85,64;9 868,7;10 109,8;12 238,6;13.04.2025 15:20:00;14.04.2025 17:39:46
18:00 - 19:00;216,79;-46,53;107,02;71,88;80,00;95,77;102,11;9 961,1;10 647,2;12 171,4;13.04.2025 15:20:00;14.04.2025 18:39:57
19:00 - 20:00;251,60;-155,64;136,67;174,15;93,70;96,19;121,65;8 122,9;8 845,6;10 307,5;13.04.2025 15:20:39;14.04.2025 19:39:45
20:00 - 21:00;271,07;16,52;126,19;114,46;117,00;98,01;115,49;9 536,7;9 994,9;11 594,1;13.04.2025 15:19:44;14.04.2025 20:39:31
21:00 - 22:00;338,79;-39,66;98,01;40,76;42,95;96,85;95,33;11 113,0;11 226,1;14 299,4;13.04.2025 15:01:07;14.04.2025 21:39:56
22:00 - 23:00;328,03;-49,26;85,28;197,84;64,00;76,54;85,58;10 177,1;9 575,0;11 944,8;13.04.2025 15:01:07;14.04.2025 22:39:58
23:00 - 00:00;129,25;-7,88;77,48;71,00;50,01;74,69;78,08;8 478,2;8 442,9;10 575,1;13.04.2025 15:21:23;14.04.2025 23:39:58
