Delivery period (CET);High;Low;VWAP;Open;Close;VWAP1H;VWAP3H;Buy Volume (MWh);Sell Volume (MWh);Transaction Volume (MWh);First trade time (CET);Last trade time (CET)
00:00 - 01:00;1 500,00;-89,68;104,12;95,00;119,00;118,16;106,78;5 955,4;6 333,3;7 196,8;15.04.2025 15:18:20;16.04.2025 00:39:43
01:00 - 02:00;911,20;45,04;98,01;86,69;78,50;99,35;100,58;5 890,8;6 151,8;7 436,1;15.04.2025 15:21:21;16.04.2025 01:39:28
02:00 - 03:00;194,99;-42,69;91,45;76,99;62,09;84,69;92,82;7 467,5;7 625,0;9 449,7;15.04.2025 15:21:21;16.04.2025 02:39:50
03:00 - 04:00;183,38;-168,89;87,79;95,41;117,20;83,43;86,67;6 547,6;6 585,3;7 998,3;15.04.2025 15:52:45;16.04.2025 03:39:30
04:00 - 05:00;156,30;60,43;93,77;87,81;124,00;103,74;95,14;7 041,4;7 161,5;8 779,0;15.04.2025 15:36:36;16.04.2025 04:39:41
05:00 - 06:00;189,60;57,13;110,57;126,01;147,20;121,40;113,84;6 904,2;7 154,7;8 491,3;15.04.2025 15:22:00;16.04.2025 05:39:22
06:00 - 07:00;206,20;49,82;135,80;104,76;115,37;145,26;140,24;6 280,5;6 362,3;7 306,5;15.04.2025 15:12:04;16.04.2025 06:39:50
07:00 - 08:00;208,50;-3 000,00;136,82;124,11;-116,50;118,10;134,73;8 161,8;8 529,7;10 163,3;15.04.2025 15:20:12;16.04.2025 07:39:56
08:00 - 09:00;217,28;-14,06;110,77;114,04;92,78;85,00;104,31;12 538,6;13 049,8;14 037,1;15.04.2025 15:11:43;16.04.2025 08:39:59
09:00 - 10:00;552,89;8,54;107,88;97,05;87,67;107,70;105,39;11 256,6;12 785,4;13 759,1;15.04.2025 15:20:03;16.04.2025 09:39:50
10:00 - 11:00;1 301,40;-247,89;88,23;81,89;55,00;87,31;83,90;12 733,8;13 439,8;14 442,7;15.04.2025 15:21:12;16.04.2025 10:39:22
11:00 - 12:00;299,99;6,01;79,76;59,59;20,37;76,32;77,85;15 303,1;16 134,0;17 432,4;15.04.2025 15:30:13;16.04.2025 11:39:08
12:00 - 13:00;199,99;-9,97;65,18;35,30;187,75;65,71;66,98;14 248,0;14 543,3;16 269,0;15.04.2025 15:20:34;16.04.2025 12:39:44
13:00 - 14:00;999,00;-61,07;60,86;34,95;131,96;77,99;66,02;14 854,6;14 445,5;17 145,6;15.04.2025 15:23:26;16.04.2025 13:39:35
14:00 - 15:00;598,19;5,82;67,95;5,82;125,01;100,97;75,95;15 921,7;15 651,9;18 203,6;15.04.2025 15:20:00;16.04.2025 14:39:50
15:00 - 16:00;270,90;0,37;80,93;66,00;90,59;95,50;87,08;15 176,3;15 327,6;16 873,1;15.04.2025 15:27:10;16.04.2025 15:39:49
16:00 - 17:00;196,37;25,97;88,46;80,08;134,51;97,46;94,05;13 822,5;14 172,4;15 176,4;15.04.2025 15:25:06;16.04.2025 16:39:58
17:00 - 18:00;192,11;4,03;102,60;120,11;167,96;110,50;107,11;13 278,5;14 003,8;17 837,2;15.04.2025 15:27:17;16.04.2025 17:39:56
18:00 - 19:00;186,48;-49,81;109,07;112,83;91,26;110,20;108,43;11 750,9;12 323,4;16 076,4;15.04.2025 15:12:05;16.04.2025 18:39:59
19:00 - 20:00;350,97;-6,67;127,52;141,17;106,77;124,12;121,67;9 642,4;10 439,7;12 318,7;15.04.2025 15:28:38;16.04.2025 19:39:25
20:00 - 21:00;232,00;70,38;118,87;121,53;96,04;111,04;113,02;9 688,9;10 200,3;11 702,8;15.04.2025 15:27:20;16.04.2025 20:39:25
21:00 - 22:00;155,61;22,66;104,93;89,93;55,14;91,22;101,54;10 167,9;10 460,1;13 248,3;15.04.2025 15:41:30;16.04.2025 21:39:53
22:00 - 23:00;177,97;19,28;94,56;86,01;69,00;87,55;91,54;8 480,3;8 756,4;10 474,5;15.04.2025 15:21:33;16.04.2025 22:39:50
23:00 - 00:00;118,78;31,42;87,01;110,41;80,76;80,17;83,69;7 466,7;7 386,4;9 356,6;15.04.2025 15:34:44;16.04.2025 23:39:37
