Delivery period (CET);High;Low;VWAP;Open;Close;VWAP1H;VWAP3H;Buy Volume (MWh);Sell Volume (MWh);Transaction Volume (MWh);First trade time (CET);Last trade time (CET)
00:00 - 01:00;291,97;-34,53;74,67;75,91;31,19;67,57;72,77;5 350,5;5 210,2;6 117,1;14.04.2025 15:18:34;15.04.2025 00:39:57
01:00 - 02:00;128,96;-500,00;69,89;75,40;86,67;59,32;66,68;5 485,4;5 497,4;5 756,6;14.04.2025 15:38:18;15.04.2025 01:39:22
02:00 - 03:00;186,48;0,50;71,23;67,31;100,00;70,34;68,69;5 212,7;5 161,4;5 306,6;14.04.2025 15:26:06;15.04.2025 02:39:59
03:00 - 04:00;154,61;-7,28;69,73;64,23;94,05;73,83;68,09;4 784,9;4 705,9;4 785,9;14.04.2025 15:27:44;15.04.2025 03:39:44
04:00 - 05:00;97,48;0,01;69,54;66,23;18,99;66,99;67,77;5 533,1;5 344,5;5 601,7;14.04.2025 15:31:01;15.04.2025 04:39:48
05:00 - 06:00;114,11;7,71;72,63;57,73;85,01;67,00;71,08;5 762,7;5 777,4;5 881,0;14.04.2025 16:00:14;15.04.2025 05:39:57
06:00 - 07:00;122,80;-161,98;90,04;93,19;88,00;84,42;87,71;6 783,7;7 192,7;7 327,8;14.04.2025 15:13:44;15.04.2025 06:39:47
07:00 - 08:00;178,05;-49,39;95,07;108,90;83,70;84,03;90,37;6 984,1;7 427,8;7 606,4;14.04.2025 15:19:16;15.04.2025 07:39:34
08:00 - 09:00;188,95;9,51;90,01;140,14;170,35;77,48;82,20;9 012,6;9 034,9;9 433,8;14.04.2025 15:18:15;15.04.2025 08:39:37
09:00 - 10:00;145,70;-25,34;66,66;72,37;0,00;63,09;62,25;10 601,0;10 618,1;11 020,2;14.04.2025 15:28:19;15.04.2025 09:39:50
10:00 - 11:00;198,90;-47,81;26,57;55,47;43,99;21,91;22,26;12 054,7;12 619,5;12 872,6;14.04.2025 15:20:19;15.04.2025 10:39:55
11:00 - 12:00;733,47;-40,36;24,56;12,58;10,06;61,83;31,16;11 416,7;12 202,7;13 467,3;14.04.2025 15:20:32;15.04.2025 11:39:37
12:00 - 13:00;96,18;-208,65;-5,75;6,44;-0,13;-0,57;-5,64;13 402,6;12 967,4;15 146,3;14.04.2025 15:07:38;15.04.2025 12:39:48
13:00 - 14:00;86,52;-79,97;-1,63;9,87;50,00;5,97;1,16;13 295,2;13 616,2;15 785,6;14.04.2025 15:07:44;15.04.2025 13:39:54
14:00 - 15:00;666,87;-28,00;14,86;-9,92;128,01;44,63;24,81;13 093,1;12 957,0;15 323,5;14.04.2025 15:21:16;15.04.2025 14:39:29
15:00 - 16:00;165,39;-24,32;49,37;97,66;115,06;70,22;58,54;13 453,3;13 237,1;13 579,9;14.04.2025 15:20:00;15.04.2025 15:39:52
16:00 - 17:00;167,57;13,70;73,41;40,70;33,57;82,41;78,02;13 325,4;13 099,7;13 327,2;14.04.2025 15:31:25;15.04.2025 16:39:50
17:00 - 18:00;136,39;-50,00;77,60;82,43;1,99;68,57;76,83;12 924,5;12 741,2;13 070,1;14.04.2025 15:26:55;15.04.2025 17:39:50
18:00 - 19:00;286,38;-28,28;86,05;286,38;-1,30;70,80;82,51;13 767,6;14 206,2;15 688,5;14.04.2025 15:00:14;15.04.2025 18:39:47
19:00 - 20:00;231,88;-33,19;100,09;144,14;152,35;83,94;92,91;12 542,0;12 920,6;14 366,1;14.04.2025 15:20:00;15.04.2025 19:39:30
20:00 - 21:00;359,17;-85,49;107,70;120,12;100,00;94,21;97,98;11 137,4;11 711,2;13 291,6;14.04.2025 15:19:45;15.04.2025 20:39:57
21:00 - 22:00;3 866,74;-1 714,42;139,48;103,41;528,36;205,58;154,23;10 428,2;10 964,8;12 236,1;14.04.2025 15:28:49;15.04.2025 21:39:28
22:00 - 23:00;384,15;38,92;118,26;80,95;142,50;132,85;123,38;14 725,2;15 253,6;17 243,1;14.04.2025 15:00:53;15.04.2025 22:39:46
23:00 - 00:00;1 500,00;41,47;99,92;100,20;118,43;112,61;104,33;9 318,8;9 874,9;11 243,8;14.04.2025 16:04:14;15.04.2025 23:39:14
