Delivery period (CET);High;Low;VWAP;Open;Close;VWAP1H;VWAP3H;Buy Volume (MWh);Sell Volume (MWh);Transaction Volume (MWh);First trade time (CET);Last trade time (CET)
00:00 - 01:00;122,75;-23,52;81,91;90,00;60,85;80,53;80,72;4 749,1;4 714,1;5 499,0;16.04.2025 15:21:03;17.04.2025 00:39:40
01:00 - 02:00;331,56;-28,67;81,51;88,01;53,40;80,02;81,01;4 602,9;4 884,3;5 513,5;16.04.2025 15:21:24;17.04.2025 01:39:44
02:00 - 03:00;320,12;-2 498,39;80,78;83,10;52,60;78,67;80,53;4 688,1;4 995,5;5 942,4;16.04.2025 15:22:03;17.04.2025 02:39:42
03:00 - 04:00;104,69;13,28;75,65;80,99;42,40;72,30;74,71;4 503,4;4 785,0;5 372,9;16.04.2025 15:28:50;17.04.2025 03:39:50
04:00 - 05:00;131,34;-130,75;79,61;85,71;103,99;78,77;78,57;5 319,8;5 618,2;6 697,5;16.04.2025 15:20:02;17.04.2025 04:39:47
05:00 - 06:00;2 934,80;-162,52;82,09;93,06;100,01;82,40;80,22;5 394,8;5 490,3;6 908,5;16.04.2025 15:20:00;17.04.2025 05:39:53
06:00 - 07:00;140,00;-3 447,78;98,38;73,45;100,24;92,76;94,59;6 458,7;6 618,4;7 561,9;16.04.2025 15:20:00;17.04.2025 06:39:44
07:00 - 08:00;336,43;60,00;110,13;107,13;115,80;102,05;107,26;8 768,8;8 900,5;10 425,1;16.04.2025 15:16:13;17.04.2025 07:39:45
08:00 - 09:00;200,98;67,16;112,71;125,21;100,00;112,00;111,74;9 565,9;9 770,0;9 861,5;16.04.2025 15:29:11;17.04.2025 08:39:46
09:00 - 10:00;483,20;64,07;103,71;146,98;288,26;119,94;105,55;10 505,9;10 835,1;11 091,1;16.04.2025 15:29:30;17.04.2025 09:39:58
10:00 - 11:00;698,28;4,81;95,66;77,82;177,20;120,96;101,07;12 312,1;12 869,4;13 084,5;16.04.2025 15:20:00;17.04.2025 10:39:36
11:00 - 12:00;400,00;34,50;90,91;93,55;92,89;134,02;103,03;13 896,2;14 599,8;14 834,4;16.04.2025 15:20:19;17.04.2025 11:39:44
12:00 - 13:00;443,23;-13,18;68,77;73,95;53,40;82,05;78,25;17 266,7;17 299,0;18 127,6;16.04.2025 15:20:00;17.04.2025 12:39:39
13:00 - 14:00;151,01;-6,69;67,97;80,34;108,34;80,55;79,08;16 164,2;16 393,8;17 237,0;16.04.2025 15:19:22;17.04.2025 13:39:52
14:00 - 15:00;600,00;24,24;77,62;74,86;230,00;106,22;90,98;17 084,0;17 484,0;18 023,1;16.04.2025 15:20:00;17.04.2025 14:39:57
15:00 - 16:00;156,25;12,60;73,29;85,24;57,75;86,58;82,36;14 617,6;14 708,9;15 257,6;16.04.2025 15:22:23;17.04.2025 15:39:34
16:00 - 17:00;139,15;0,00;82,79;51,27;125,00;90,15;88,40;12 719,4;12 737,2;14 874,1;16.04.2025 15:20:00;17.04.2025 16:39:46
17:00 - 18:00;406,33;50,00;106,37;235,00;250,01;124,33;114,36;11 247,4;11 443,4;14 098,3;16.04.2025 15:00:15;17.04.2025 17:39:50
18:00 - 19:00;277,28;63,11;117,81;277,28;124,50;136,17;124,44;13 240,8;13 190,3;16 860,1;16.04.2025 15:00:09;17.04.2025 18:39:54
19:00 - 20:00;455,26;-74,84;129,87;119,23;162,56;144,12;135,11;11 734,2;11 469,9;14 881,3;16.04.2025 15:21:22;17.04.2025 19:39:50
20:00 - 21:00;779,41;54,53;128,50;351,64;700,00;144,96;135,14;12 601,2;12 047,7;15 647,3;16.04.2025 15:00:11;17.04.2025 20:39:59
21:00 - 22:00;999,00;50,35;139,54;120,41;127,06;195,34;158,48;12 278,7;12 042,9;14 985,0;16.04.2025 15:21:28;17.04.2025 21:39:46
22:00 - 23:00;259,30;-157,70;113,00;81,44;113,06;116,05;118,46;12 701,6;11 747,1;14 760,3;16.04.2025 15:15:35;17.04.2025 22:39:45
23:00 - 00:00;174,19;-130,35;101,21;82,30;57,95;97,68;104,49;9 957,5;9 643,9;12 276,5;16.04.2025 15:21:03;17.04.2025 23:39:23
